escenario,modo,repeticion,zone,ticket_id
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,523b470a-a492-48d3-bc32-c444402fc2f7
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,a5e5409a-1fe5-4174-b2d6-169be1bb19a5
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,45ed07f6-ad8f-4e21-8a75-bf6aa5c42022
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,026e455a-5019-4c64-b292-621e896a5b57
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,00262cef-ecfb-41e8-9956-f9672f993816
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,adffd76c-9a8c-46c4-985e-255acf273d38
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,9ddaa05c-07fd-4107-8af3-49b5595f60d4
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,25677047-a1ce-43ad-8e63-f67177a36f54
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,1bd51edd-4064-493a-98c8-0d2dbba4f1b3
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,56b2f650-b54d-474d-b824-6857de39a49f
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,e1935197-01ff-48dc-a194-fa1921a54e0d
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,f41e1198-1fce-426d-8f21-5ca4e882efec
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,541e8982-7720-40d7-8155-572411c18f7a
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,e35d73f7-a984-464c-acfd-cfbc63e49992
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,64e23da9-d330-4303-8d4c-f41397bf8c7f
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,9f47d4ca-e3d0-41b2-8897-492208994ae5
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,5939d284-3b72-4898-a90c-8e93897aec43
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,d2e4404d-0bf1-47bb-afc1-f4501a8580a4
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,7c542866-d5fa-4c8e-a04e-b401d9b8b325
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,f0c505a8-0d0b-426c-8758-07a48f75d81e
Esc-2_averia_masiva,c0,2,QUEVEDO_CENTRO,f8bcf7f7-7845-4f7b-b535-179b3d811d2c
